data_hoje,p_6,p_5,p_4,p_3,p_2,p_1,hoje,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,asset,max_percentual,max_futuro_col
2026-01-28 18:00:42,9.880000114440918,10.220000267028809,9.93000030517578,9.649999618530272,9.649999618530272,9.6899995803833,9.699999809265137,9.680337905883787,9.68267059326172,9.719165802001951,9.751585960388184,9.739797592163086,9.78158187866211,10.00007152557373,9.975932121276855,BRKM5,3.093522909371345,f_7
2026-01-28 18:15:00,0.4562909007072449,0.4534981846809387,0.4503474235534668,0.4503785073757171,0.454898476600647,0.4509254992008209,0.4509930908679962,0.4509260058403015,0.4506452083587646,0.4510650336742401,0.4524747729301452,0.4521517157554626,0.4520438611507416,0.4535152614116668,0.4544652998447418,TIA,0.7699029202560237,f_8
2026-01-28 18:16:15,259.3800048828125,258.2799987792969,256.0899963378906,255.4900054931641,254.82000732421875,254.9900054931641,255.1199951171875,255.2185516357422,255.41192626953125,255.0586700439453,255.4069976806641,255.25320434570312,257.0751037597656,255.5511474609375,255.8396911621093,AAPL,0.7663486516139436,f_6
2026-01-28 18:15:00,0.2110854536294937,0.2101945728063583,0.2083312422037124,0.2080680876970291,0.20977284014225,0.208610326051712,0.2085992693901062,0.2086913138628006,0.2084390223026275,0.2086629271507263,0.2086609601974487,0.2088621705770492,0.209148421883583,0.2091457843780517,0.2100189179182052,XLM,0.6805625600941791,f_8
2026-01-28 18:17:00,0.5516892075538635,0.5467279553413391,0.5421351790428162,0.536540687084198,0.5400134921073914,0.538731038570404,0.5390559434890747,0.5389276742935181,0.5374595522880554,0.5398893356323242,0.5406550765037537,0.5391342639923096,0.5392705798149109,0.5405749678611755,0.542716920375824,XTZ,0.6791460016289508,f_8
2026-01-28 18:01:23,2.700000047683716,2.690000057220459,2.7300000190734863,2.6600000858306885,2.5899999141693115,2.5899999141693115,2.5799999237060547,2.5847718715667725,2.5871853828430176,2.582430362701416,2.582720994949341,2.581120491027832,2.5691442489624023,2.582326650619507,2.596198320388794,CVCB3,0.6278448512304986,f_8
2026-01-28 18:15:00,0.3615341186523437,0.3583448827266693,0.3572613894939422,0.3568234741687774,0.3597591519355774,0.3572688102722168,0.3572587370872497,0.3568184971809387,0.3561351597309112,0.3576648235321045,0.3574793636798858,0.3575578033924103,0.3574844598770141,0.3589198887348175,0.3594209551811218,ADA,0.6052246927537039,f_8
2026-01-28 18:01:15,25.25,25.489999771118164,25.209999084472656,25.229999542236328,25.270000457763672,25.270000457763672,25.26000022888184,25.25296974182129,25.26215934753418,25.25682258605957,25.2583236694336,25.277402877807617,25.29867172241211,25.35405731201172,25.394086837768555,BBAS3,0.5308258419309375,f_8
2026-01-28 18:01:29,11.100000381469728,11.149999618530272,11.020000457763672,11.140000343322754,10.960000038146973,10.960000038146973,10.989999771118164,10.974743843078612,10.987957954406738,10.989624977111816,10.996997833251951,11.026800155639648,11.025867462158203,11.0433349609375,11.03006362915039,CSNA3,0.4853065598736533,f_7
2026-01-28 18:01:38,15.239999771118164,15.359999656677246,15.210000038146973,15.109999656677246,15.140000343322754,15.140000343322754,15.140000343322754,15.146438598632812,15.16176700592041,15.149808883666992,15.161993980407717,15.111898422241213,15.13362979888916,15.193171501159668,15.211763381958008,RAIL3,0.4739962814261348,f_8
2026-01-28 18:01:47,14.020000457763672,13.979999542236328,13.760000228881836,13.699999809265137,13.68000030517578,13.670000076293944,13.649999618530272,13.629682540893556,13.64991569519043,13.642667770385742,13.614739418029783,13.653080940246582,13.690654754638672,13.714582443237305,13.67576026916504,HAPV3,0.4731342601604045,f_7
2026-01-28 18:15:00,2.286255359649658,2.2823233604431152,2.246152400970459,2.246887445449829,2.2606306076049805,2.2452878952026367,2.2451701164245605,2.247009992599488,2.252254009246826,2.2551474571228027,2.2516086101531982,2.25164532661438,2.2520227432250977,2.242780923843384,2.2445788383483887,ATOM,0.4443913013652226,f_3
2026-01-28 18:01:22,9.829999923706056,9.899999618530272,9.829999923706056,9.800000190734863,9.8100004196167,9.800000190734863,9.8100004196167,9.814141273498535,9.805826187133787,9.805100440979004,9.809767723083496,9.808591842651367,9.833202362060549,9.848909378051758,9.849810600280762,MGLU3,0.4058122218267752,f_8
2026-01-28 18:01:56,15.779999732971191,15.710000038146973,15.539999961853027,15.539999961853027,15.600000381469728,15.539999961853027,15.539999961853027,15.52957820892334,15.553712844848633,15.553426742553713,15.600723266601562,15.6027193069458,15.588811874389648,15.564574241638184,15.550334930419922,EZTC3,0.403599390262126,f_5
2026-01-28 18:15:00,0.3002882003784179,0.2985242009162903,0.2962471842765808,0.2955986857414245,0.2982848882675171,0.295977771282196,0.2959890067577362,0.2960948944091797,0.2963736355304718,0.2965163886547088,0.2966577410697937,0.2965331673622131,0.2964259088039398,0.2966791987419128,0.2971585988998413,OP,0.3951471559423154,f_8
2026-01-28 18:15:00,12.140164375305176,12.072129249572754,12.012064933776855,12.00648021697998,12.077482223510742,12.015379905700684,12.014947891235352,12.002023696899414,12.007789611816406,12.0200834274292,12.039789199829102,12.049763679504396,12.06200122833252,12.040267944335938,12.040690422058104,AVAX,0.3916233139179269,f_6
2026-01-28 18:01:58,30.239999771118164,30.15999984741211,29.88999938964844,29.8799991607666,29.96999931335449,29.96999931335449,29.950000762939453,29.93196487426757,29.94359970092773,29.98354148864746,29.97804450988769,30.047420501708984,30.06555557250977,30.033676147460938,30.03022575378418,CYRE3,0.3858257316417221,f_6
