data,f_1_real,f_1_datetime,f_2_real,f_2_datetime,f_3_real,f_3_datetime,f_4_real,f_4_datetime,f_5_real,f_5_datetime,f_6_real,f_6_datetime,f_7_real,f_7_datetime,f_8_real,f_8_datetime
2026-01-27 22:18:52,0.72326,2026-01-27 23:00:00,0.72371,2026-01-28 00:00:00,0.72458,2026-01-28 01:00:00,0.7244,2026-01-28 02:00:00,0.72462,2026-01-28 03:00:00,0.7245,2026-01-28 04:00:00,0.72432,2026-01-28 05:00:00,0.7243,2026-01-28 06:00:00
2026-01-28 18:15:51,0.72494,2026-01-28 19:00:00,0.72467,2026-01-28 20:00:00,0.72429,2026-01-28 21:00:00,0.72456,2026-01-28 22:00:00,0.72339,2026-01-28 23:00:00,0.72354,2026-01-29 00:00:00,0.72444,2026-01-29 01:00:00,0.72395,2026-01-29 02:00:00
2026-01-29 01:46:51,0.72395,2026-01-29 02:00:00,0.72288,2026-01-29 03:00:00,0.72255,2026-01-29 04:00:00,0.72263,2026-01-29 05:00:00,0.72261,2026-01-29 06:00:00,0.72293,2026-01-29 07:00:00,0.7236,2026-01-29 08:00:00,0.72444,2026-01-29 09:00:00
