data,f_1_real,f_1_datetime,f_2_real,f_2_datetime,f_3_real,f_3_datetime,f_4_real,f_4_datetime,f_5_real,f_5_datetime,f_6_real,f_6_datetime,f_7_real,f_7_datetime,f_8_real,f_8_datetime
2026-01-27 22:18:00,158.66282653808594,2026-01-27 23:00:00,158.26515197753906,2026-01-28 00:00:00,157.6123504638672,2026-01-28 01:00:00,158.9815216064453,2026-01-28 02:00:00,158.29562377929688,2026-01-28 03:00:00,157.70643615722656,2026-01-28 04:00:00,156.77825927734375,2026-01-28 05:00:00,157.50634765625,2026-01-28 06:00:00
2026-01-28 18:15:00,160.2786407470703,2026-01-28 19:00:00,159.6641845703125,2026-01-28 20:00:00,160.12969970703125,2026-01-28 21:00:00,160.6862335205078,2026-01-28 22:00:00,159.98138427734375,2026-01-28 23:00:00,159.23312377929688,2026-01-29 00:00:00,159.16964721679688,2026-01-29 01:00:00,159.179443359375,2026-01-29 01:51:00
2026-01-29 01:49:00,,,,,,,,,,,,,,,,
