data,f_1_real,f_1_datetime,f_2_real,f_2_datetime,f_3_real,f_3_datetime,f_4_real,f_4_datetime,f_5_real,f_5_datetime,f_6_real,f_6_datetime,f_7_real,f_7_datetime,f_8_real,f_8_datetime
2026-01-27 22:18:00,3023.344,2026-01-27 23:00:00,3018.3755,2026-01-28 00:00:00,3014.97,2026-01-28 01:00:00,3005.173828125,2026-01-28 02:00:00,3001.3017578125,2026-01-28 03:00:00,2995.655029296875,2026-01-28 04:00:00,2999.318115234375,2026-01-28 05:00:00,3011.076171875,2026-01-28 06:00:00
2026-01-28 13:24:00,3009.3887,2026-01-28 14:00:00,2995.2117,2026-01-28 15:00:00,2998.397,2026-01-28 15:29:00,,,,,,,,,,
