data,f_1_real,f_1_datetime,f_2_real,f_2_datetime,f_3_real,f_3_datetime,f_4_real,f_4_datetime,f_5_real,f_5_datetime,f_6_real,f_6_datetime,f_7_real,f_7_datetime,f_8_real,f_8_datetime
2026-01-26 19:01:00,1.488674,2026-01-27 00:00:00,1.4863250255584717,2026-01-28 00:00:00,1.4181723594665527,2026-01-29 11:50:00,,,,,,,,,,
2026-01-27 21:38:00,1.486325,2026-01-28 00:00:00,1.4181723594665527,2026-01-29 11:50:00,,,,,,,,,,,,
2026-01-28 11:24:00,1.4181724,2026-01-29 11:50:00,,,,,,,,,,,,,,
2026-01-29 01:33:00,1.4181724,2026-01-29 11:50:00,,,,,,,,,,,,,,
