data,f_1_real,f_1_datetime,f_2_real,f_2_datetime,f_3_real,f_3_datetime,f_4_real,f_4_datetime,f_5_real,f_5_datetime,f_6_real,f_6_datetime,f_7_real,f_7_datetime,f_8_real,f_8_datetime
2026-01-26 19:02:09,17.35540008544922,2026-01-27 00:00:00,17.162500381469727,2026-01-28 00:00:00,17.180500030517578,2026-01-29 02:01:48,,,,,,,,,,
2026-01-27 21:38:53,17.162500381469727,2026-01-28 00:00:00,17.180500030517578,2026-01-29 02:01:48,,,,,,,,,,,,
2026-01-28 11:24:50,17.180500030517578,2026-01-29 02:01:48,,,,,,,,,,,,,,
2026-01-29 01:32:05,,,,,,,,,,,,,,,,
