data_hoje,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,hoje,futuro_1,futuro_2,futuro_3,futuro_4,futuro_5,futuro_6,futuro_7,futuro_8,coin,max_percentual,max_futuro_col
2026-01-26 15:43:09,2.4100000858306885,2.509999990463257,2.390000104904175,2.4000000953674316,2.380000114440918,2.4200000762939453,2.3499999046325684,2.360173463821411,2.378589153289795,2.3690121173858643,2.388869524002075,2.3788046836853027,2.358621597290039,2.3496694564819336,2.3438310623168945,CVCB3,1.6540264232727384,futuro_4
2026-01-26 15:57:00,0.5533030033111572,0.5937730073928833,0.5787249803543091,0.589028000831604,0.5849130153656006,0.5623390078544617,0.5712111592292786,0.5610572695732117,0.5650290846824646,0.5669309496879578,0.5709690451622009,0.5749984979629517,0.5754478573799133,0.5751137137413025,0.5788626074790955,XTZ,1.3395130900700205,futuro_8
2026-01-26 15:43:12,9.510000228881836,9.210000038146973,8.930000305175781,9.369999885559082,9.539999961853027,10.140000343322754,10.260000228881836,10.277070045471191,10.121068000793457,10.113710403442383,10.23747730255127,10.205757141113281,10.258237838745117,10.317502975463867,10.395100593566895,CSNA3,1.316767657614197,futuro_8
2026-01-26 15:56:00,0.4617669880390167,0.4706929922103882,0.4568609893321991,0.45313701033592224,0.45855799317359924,0.42752400040626526,0.44434159994125366,0.44322648644447327,0.4374941885471344,0.4399684965610504,0.4415815770626068,0.4454672038555145,0.4450388550758362,0.45002853870391846,0.44879916310310364,TIA,1.279857380766659,futuro_7
2026-01-26 15:43:07,21.3700008392334,21.309999465942383,21.540000915527344,22.399999618530273,23.450000762939453,24.280000686645508,24.190000534057617,23.97666358947754,24.073097229003906,23.71031951904297,24.178647994995117,24.171321868896484,24.363571166992188,24.22325897216797,24.467979431152344,BBAS3,1.1491479576585961,futuro_8
2026-01-26 15:48:12,4616.2998046875,4588.39990234375,4759.60009765625,4831.7998046875,4908.7998046875,4976.2001953125,5080.7998046875,5085.23046875,5054.3857421875,5042.130859375,5083.609375,5085.7412109375,5138.4091796875,5102.48779296875,5073.0771484375,GOLD_USD,1.1338642972480457,futuro_6
2026-01-26 15:43:07,4.75,4.699999809265137,4.650000095367432,4.760000228881836,5.010000228881836,5.179999828338623,5.139999866485596,5.195333003997803,5.097827434539795,5.136307239532471,5.09018087387085,5.171237468719482,5.115830421447754,5.1022629737854,5.143652439117432,AMER3,1.0765202130256144,futuro_1
2026-01-26 15:57:57,620.7999877929688,620.25,604.1199951171875,612.9600219726562,647.6300048828125,658.760009765625,670.97998046875,672.4104614257812,678.171142578125,668.157958984375,662.3392944335938,667.1404418945312,668.5184326171875,669.6343994140625,674.9514770507812,META,1.0717401887834594,futuro_2
2026-01-26 15:43:03,78.87999725341797,78.56999969482422,80.08000183105469,82.5,82.9800033569336,85.0199966430664,84.30000305175781,83.96900177001953,83.7598648071289,83.98394012451172,84.22018432617188,84.50213623046875,84.51194763183594,85.10318756103516,83.55630493164062,VALE3,0.9527692529076318,futuro_7
2026-01-26 15:43:03,39.61000061035156,39.54999923706055,39.91999816894531,41.66999816894531,43.08000183105469,43.56999969482422,43.83000183105469,43.34313201904297,43.746917724609375,43.549888610839844,43.456417083740234,44.026737213134766,43.77541732788086,44.22482681274414,44.07444381713867,ITUB4,0.9008098681157468,futuro_7
2026-01-26 15:56:00,2.2925779819488525,2.3788468837738037,2.3303210735321045,2.3646700382232666,2.3299379348754883,2.2353320121765137,2.2714600563049316,2.277724504470825,2.291660785675049,2.2903683185577393,2.276798725128174,2.258333921432495,2.270562171936035,2.2585866451263428,2.2626562118530273,ATOM,0.8893279595230242,futuro_2
2026-01-26 15:56:00,1.5046770572662354,1.5264270305633545,1.5111470222473145,1.5073280334472656,1.5038959980010986,1.4335479736328125,1.4622046947479248,1.451785922050476,1.4502202272415161,1.458083987236023,1.4678126573562622,1.4662824869155884,1.4705023765563965,1.475008487701416,1.467591643333435,NEAR,0.8756498320297423,futuro_7
2026-01-26 15:56:00,153.07200622558594,159.26284790039062,157.11773681640625,156.91444396972656,155.98406982421875,147.73570251464844,152.50807189941406,152.82748413085938,151.33969116210938,150.75039672851562,151.79786682128906,152.48599243164062,153.4494171142578,153.8370361328125,152.9595947265625,AAVE,0.8714058323909236,futuro_7
2026-01-26 15:43:08,3.6700000762939453,3.5999999046325684,3.6500000953674316,4.050000190734863,4.349999904632568,4.409999847412109,4.400000095367432,4.434535026550293,4.3704023361206055,4.350017070770264,4.375498294830322,4.370713233947754,4.416357517242432,4.384352684020996,4.345184803009033,COGN3,0.7848847825985652,futuro_1
2026-01-26 15:56:00,12.084134101867676,12.402188301086426,12.174766540527344,12.118390083312988,12.03725814819336,11.484868049621582,11.751601219177246,11.794661521911621,11.759330749511719,11.714492797851562,11.748420715332031,11.682092666625977,11.797272682189941,11.83807373046875,11.794628143310547,AVAX,0.7358359910170439,futuro_7
2026-01-26 15:57:55,438.57000732421875,437.5,419.25,431.44000244140625,449.3599853515625,449.05999755859375,438.42010498046875,438.0451354980469,440.08941650390625,441.412841796875,434.2122802734375,434.641845703125,433.3123779296875,434.4158935546875,439.84564208984375,TSLA,0.6826185164431667,futuro_3
2026-01-26 15:42:27,52.41999816894531,54.29999923706055,54.11000061035156,54.630001068115234,55.720001220703125,55.220001220703125,55.34000015258789,55.71449279785156,55.383201599121094,55.51333236694336,55.395652770996094,54.8857421875,54.87712478637695,55.104164123535156,54.83327865600586,IRBR3,0.6767124037424841,futuro_1
