asset,futuro_1_mape_positivo_mean,futuro_1_mape_positivo_5,futuro_1_mape_positivo_25,futuro_1_mape_positivo_50,futuro_1_mape_positivo_75,futuro_1_mape_positivo_95,futuro_1_count_positivo,futuro_1_mape_negativo_mean,futuro_1_mape_negativo_5,futuro_1_mape_negativo_25,futuro_1_mape_negativo_50,futuro_1_mape_negativo_75,futuro_1_mape_negativo_95,futuro_1_count_negativo,futuro_2_mape_positivo_mean,futuro_2_mape_positivo_5,futuro_2_mape_positivo_25,futuro_2_mape_positivo_50,futuro_2_mape_positivo_75,futuro_2_mape_positivo_95,futuro_2_count_positivo,futuro_2_mape_negativo_mean,futuro_2_mape_negativo_5,futuro_2_mape_negativo_25,futuro_2_mape_negativo_50,futuro_2_mape_negativo_75,futuro_2_mape_negativo_95,futuro_2_count_negativo,futuro_3_mape_positivo_mean,futuro_3_mape_positivo_5,futuro_3_mape_positivo_25,futuro_3_mape_positivo_50,futuro_3_mape_positivo_75,futuro_3_mape_positivo_95,futuro_3_count_positivo,futuro_3_mape_negativo_mean,futuro_3_mape_negativo_5,futuro_3_mape_negativo_25,futuro_3_mape_negativo_50,futuro_3_mape_negativo_75,futuro_3_mape_negativo_95,futuro_3_count_negativo,futuro_4_mape_positivo_mean,futuro_4_mape_positivo_5,futuro_4_mape_positivo_25,futuro_4_mape_positivo_50,futuro_4_mape_positivo_75,futuro_4_mape_positivo_95,futuro_4_count_positivo,futuro_4_mape_negativo_mean,futuro_4_mape_negativo_5,futuro_4_mape_negativo_25,futuro_4_mape_negativo_50,futuro_4_mape_negativo_75,futuro_4_mape_negativo_95,futuro_4_count_negativo,futuro_5_mape_positivo_mean,futuro_5_mape_positivo_5,futuro_5_mape_positivo_25,futuro_5_mape_positivo_50,futuro_5_mape_positivo_75,futuro_5_mape_positivo_95,futuro_5_count_positivo,futuro_5_mape_negativo_mean,futuro_5_mape_negativo_5,futuro_5_mape_negativo_25,futuro_5_mape_negativo_50,futuro_5_mape_negativo_75,futuro_5_mape_negativo_95,futuro_5_count_negativo,futuro_6_mape_positivo_mean,futuro_6_mape_positivo_5,futuro_6_mape_positivo_25,futuro_6_mape_positivo_50,futuro_6_mape_positivo_75,futuro_6_mape_positivo_95,futuro_6_count_positivo,futuro_6_mape_negativo_mean,futuro_6_mape_negativo_5,futuro_6_mape_negativo_25,futuro_6_mape_negativo_50,futuro_6_mape_negativo_75,futuro_6_mape_negativo_95,futuro_6_count_negativo,futuro_7_mape_positivo_mean,futuro_7_mape_positivo_5,futuro_7_mape_positivo_25,futuro_7_mape_positivo_50,futuro_7_mape_positivo_75,futuro_7_mape_positivo_95,futuro_7_count_positivo,futuro_7_mape_negativo_mean,futuro_7_mape_negativo_5,futuro_7_mape_negativo_25,futuro_7_mape_negativo_50,futuro_7_mape_negativo_75,futuro_7_mape_negativo_95,futuro_7_count_negativo,futuro_8_mape_positivo_mean,futuro_8_mape_positivo_5,futuro_8_mape_positivo_25,futuro_8_mape_positivo_50,futuro_8_mape_positivo_75,futuro_8_mape_positivo_95,futuro_8_count_positivo,futuro_8_mape_negativo_mean,futuro_8_mape_negativo_5,futuro_8_mape_negativo_25,futuro_8_mape_negativo_50,futuro_8_mape_negativo_75,futuro_8_mape_negativo_95,futuro_8_count_negativo
USD_BRL,0.11339177,0.06799462214112281,0.07733817771077156,0.08973029255867004,0.12578388303518295,0.19191498011350627,4,0.09278884530067444,0.013943792786449194,0.033209751825779676,0.055133817717432976,0.09834079444408417,0.2515828311443329,6,0.07456754,0.02862664982676506,0.03821282461285591,0.04577463120222092,0.07114318758249283,0.16741019040346145,5,0.0831160694360733,0.030696222186088563,0.042131826281547546,0.06860459595918655,0.11790938675403595,0.15085964500904084,5,0.027088989,0.011894091963768005,0.018283255398273468,0.019346918910741806,0.019823018461465836,0.05812056139111518,5,0.14210180938243866,0.030544756352901457,0.03557542711496353,0.13807599246501923,0.245758518576622,0.25860128104686736,5,0.1264292,0.07955743595957757,0.10038932785391808,0.12642919272184372,0.15246905758976936,0.17330094948410987,2,0.21807529032230377,0.1277610208839178,0.16256963461637497,0.19566214829683304,0.29330506920814514,0.3174289360642433,8,0.0893041,0.04840083569288254,0.06658006459474564,0.08930409699678421,0.11202813312411308,0.1302073620259762,2,0.11837117373943329,0.01792255640029907,0.02931169280782342,0.08573681861162186,0.22007371857762337,0.24787517338991163,8,0.11128924,0.08450865149497985,0.10774236917495728,0.11835230141878128,0.12151913344860077,0.1284095376729965,5,0.1269431859254837,0.01112775569781661,0.030561355873942375,0.10290461033582687,0.23589664697647095,0.2544464945793152,5,0.18663345,0.07178275361657142,0.09432949125766754,0.1263294517993927,0.27316559851169586,0.372906082868576,7,0.0879494920372963,0.010955444211140275,0.047664716839790344,0.09355130791664124,0.13103517144918442,0.16102226227521896,3,0.24911321699619293,0.05460458863526583,0.17818699777126312,0.2508719563484192,0.30974099040031433,0.46683925986289976,9,0.04659154266119003,0.04659154266119003,0.04659154266119003,0.04659154266119003,0.04659154266119003,0.04659154266119003,1
EUR_BRL,0.09123607,0.0734892088919878,0.07631702162325382,0.07787058502435684,0.09278963506221771,0.12769461572170254,4,0.15913115441799164,0.09313851594924927,0.09479320421814919,0.1285603940486908,0.2089756801724434,0.27045194059610367,6,0.037060577,0.025919500179588793,0.026667789556086063,0.031093690544366837,0.041486477479338646,0.056555293127894396,4,0.12877832353115082,0.010711322771385312,0.05170711409300566,0.16523964703083038,0.17719774320721626,0.2234082743525505,6,0.049361672,0.008281849697232247,0.02771875262260437,0.041423287242650986,0.06306621059775352,0.1015552446246147,4,0.05914958193898201,0.005549919209443033,0.009056233800947666,0.04852252081036568,0.08393440395593643,0.14201982878148556,6,0.107504405,0.051871795952320096,0.08447209745645523,0.11944188922643661,0.1424741968512535,0.14642453640699388,4,0.11162274330854416,0.0438593365252018,0.07805625908076763,0.12006374076008797,0.1430673971772194,0.17095282301306725,6,0.10333632,0.06469606533646584,0.09011449292302132,0.10660954937338829,0.11983137764036655,0.13739405758678913,4,0.09832590818405151,0.015498637687414885,0.03951326757669449,0.07525335997343063,0.14249576814472675,0.21783297881484032,6,0.12684175,0.030206625536084174,0.09773267805576324,0.14555607736110687,0.16932149231433868,0.20048297941684723,5,0.0857238844037056,0.010936318198218942,0.0434550940990448,0.08943704515695572,0.13490597903728485,0.1533929318189621,5,0.11519686,0.017376696132123472,0.047270845621824265,0.12241589277982712,0.1438199281692505,0.2468361034989356,7,0.06575406342744827,0.05814708061516285,0.06000749208033085,0.06233300641179085,0.06979010067880154,0.07575577609241009,3,0.1288275122642517,0.026047044806182387,0.06339998170733452,0.07815736532211304,0.1719193160533905,0.31372192427515977,8,0.13411015272140503,0.10393115654587745,0.11734404042363167,0.13411014527082443,0.1508762501180172,0.1642891339957714,2
GBP_BRL,0.06556513,0.011683591641485691,0.028154728934168816,0.04969223961234093,0.08294731192290783,0.1594628699123859,7,0.21931536495685577,0.08398860767483711,0.12563398852944374,0.17769071459770203,0.29218441247940063,0.3837793707847595,3,0.109474935,0.03967689052224159,0.06655304506421089,0.10014823824167252,0.14773347601294518,0.1858016662299633,3,0.09376393258571625,0.01969214379787445,0.03496877662837505,0.06297373026609421,0.13917265832424164,0.21156034469604487,7,0.09972929,0.011967311060288923,0.05885873921215534,0.09656118974089622,0.13743173703551292,0.19192659780383106,4,0.112027108669281,0.018882635049521923,0.0429820790886879,0.05803292244672775,0.09790458716452122,0.3236098289489746,6,0.0821527,0.021966055035591125,0.02396533638238907,0.052047792822122574,0.1442447006702423,0.16408047080039978,5,0.14912769198417664,0.029920682776719332,0.12372924387454987,0.12438856065273285,0.13365688920021057,0.3126475632190704,5,0.11892352,0.03994479402899742,0.08930551260709763,0.15100641548633575,0.1645829752087593,0.17544422298669815,3,0.08823299407958984,0.02798307444900274,0.05595798417925835,0.07056829333305359,0.07906385883688927,0.20550875961780535,7,0.10665363,0.047749086283147335,0.08345287572592497,0.098959781229496,0.12216052785515785,0.1763295359909534,4,0.05868590995669365,0.008032278739847243,0.00980578106828034,0.013200738467276096,0.019263080786913633,0.2212742120027542,6,0.09426901,0.011551062855869532,0.024937984067946672,0.04140113666653633,0.13044079020619392,0.2714032508432865,8,0.18175676465034485,0.06607061028480529,0.11748668551445007,0.18175676465034485,0.24602685868740082,0.29744293391704557,2,0.12866118550300598,0.016330959275364876,0.09347653388977051,0.12896766886115074,0.18119839951395988,0.2274948216974735,8,0.05898156389594078,0.007194674364291132,0.030211069039069116,0.05898156389594078,0.08775205723941326,0.11076845191419124,2
USD_EUR,0.12244332,0.08190547823905944,0.10159745812416077,0.12621243298053741,0.14517372846603394,0.16034276485443114,3,0.06111583486199379,0.007615212816745043,0.019385345745831728,0.03240909427404404,0.05521154962480068,0.18683797568082797,7,0.06611158,0.008531285077333452,0.0334558030590415,0.07316816970705986,0.1058239433914423,0.11381263919174671,4,0.14966823160648346,0.0797616709023714,0.10825097560882568,0.12903228774666786,0.15421294793486595,0.26823170855641365,6,0.08534357,0.07502660006284714,0.07961191982030869,0.08534356951713562,0.09107521921396255,0.0956605389714241,2,0.1288343369960785,0.04001483004540205,0.10067153535783291,0.11546732485294342,0.13932869769632816,0.24924067780375475,8,0.023206055,0.023206055164337158,0.023206055164337158,0.023206055164337158,0.023206055164337158,0.023206055164337158,1,0.16352680325508118,0.03399305902421475,0.060017675161361694,0.13575859367847443,0.2713596820831299,0.3494495391845703,9,0.073017046,0.03346415525302291,0.04363721190020442,0.06923336163163185,0.09861319698393345,0.11786709912121295,4,0.15647636353969574,0.034392401576042175,0.09765658713877201,0.1595151498913765,0.20419375598430634,0.2824167162179947,6,0.09120555,0.005425532395020127,0.02210689429193735,0.09620947390794754,0.14147168025374413,0.1964955925941467,7,0.10214865207672119,0.016410640254616738,0.03956926614046097,0.06851755082607269,0.14791249483823776,0.2114284500479698,3,0.149584,0.033623536303639415,0.05285654217004776,0.13817311823368073,0.18489062786102295,0.35348534584045405,9,0.02350345253944397,0.02350345253944397,0.02350345253944397,0.02350345253944397,0.02350345253944397,0.02350345253944397,1,0.25925713777542114,0.056577370315790174,0.15524722263216972,0.2427375465631485,0.37215401977300644,0.4779405668377876,8,0.00734175369143486,0.006711063650436699,0.006991370231844485,0.007341753458604217,0.007692136685363948,0.007972443266771734,2
USD_GBP,0.059224673,0.003822919214144349,0.012678179889917374,0.06917346268892288,0.09097270667552948,0.1155464619398117,5,0.1189114898443222,0.017529891896992923,0.06653166562318802,0.09993471950292587,0.19560283422470093,0.22088758945465087,5,0.03748034,0.01566348746418953,0.034025516360998154,0.04319212958216667,0.046705953776836395,0.051265273988246915,5,0.0682753324508667,0.015657446533441543,0.04261142387986183,0.05540382117033005,0.0868488997220993,0.13544462621212006,5,0.06611234,0.03603213094174862,0.04987351410090923,0.05980626493692398,0.0760450940579176,0.10502106510102747,4,0.14899231493473053,0.023118581622838974,0.08179126679897308,0.18407442420721054,0.2178151085972786,0.2328556813299656,6,0.01721923,0.00808254275470972,0.012143292464315891,0.01721923053264618,0.022295167669653893,0.026355917379260064,2,0.06355476379394531,0.017736176401376723,0.03515596501529217,0.0417728740721941,0.060868535190820694,0.16460769325494762,8,0.071945325,0.05133073478937149,0.05259064584970474,0.05415467917919159,0.0887129008769989,0.1083446741104126,5,0.1005454882979393,0.08295176178216934,0.09508249908685684,0.09525706619024277,0.10932218283414841,0.12038174122571944,5,0.11164077,0.032649459317326546,0.08157491497695446,0.11607452854514122,0.14156237244606018,0.18555549532175064,6,0.09150820970535278,0.019418615661561493,0.06171121075749397,0.08911442011594772,0.11891141906380653,0.16694911196827886,4,0.08642355,0.008404856454581023,0.029397589154541492,0.11158823221921921,0.12397116795182228,0.166504892706871,7,0.07834881544113159,0.02383597455918789,0.04144038073718548,0.06344588845968246,0.10780578479170799,0.1432937018573284,3,0.12284401804208755,0.027468680590391162,0.08235737681388855,0.10547849908471107,0.1779233254492283,0.2259897418320179,8,0.014311911538243294,0.011095543159171939,0.012525040423497558,0.014311912003904581,0.016098783584311604,0.017528280848637223,2
USD_JPY,0.08100167,0.06642551869153976,0.07310130447149277,0.08153783902525902,0.08943819999694824,0.09482716917991638,4,0.12368938326835632,0.027657005470246077,0.09676748514175415,0.11921058222651482,0.12636530585587025,0.24111099168658257,6,0.15145832,0.0814387321472168,0.12726491689682007,0.16107095032930374,0.18526435270905495,0.2080202229321003,4,0.1568583846092224,0.03319327160716057,0.07862948253750801,0.14378999918699265,0.21629787608981133,0.30829624086618423,6,0.11314056,0.02061539888381958,0.06621049344539642,0.1147959977388382,0.16914492845535278,0.1988968014717102,5,0.14548829197883606,0.05477279871702194,0.08243245631456375,0.12407375127077103,0.2344309538602829,0.23780330121517182,5,0.11437434,0.10520595461130142,0.1062055304646492,0.10745500028133392,0.119083471596241,0.12838624864816667,3,0.1477997750043869,0.02123250626027584,0.08257089555263519,0.18659067153930664,0.21693339198827744,0.23471993654966353,7,0.08411992,0.06461995206773281,0.074350131675601,0.08651285618543625,0.09508618712425232,0.10194485187530518,3,0.05133289843797684,0.021687251701951026,0.028457287698984146,0.03616106137633324,0.0480521023273468,0.12064474895596497,7,0.06561208,0.01550279725342989,0.040163908153772354,0.05811317265033722,0.09565430879592896,0.11550411731004714,9,0.020277461037039757,0.020277461037039757,0.020277461037039757,0.020277461037039757,0.020277461037039757,0.020277461037039757,1,0.10837958,0.018481707805767657,0.07837366126477718,0.10447235032916069,0.12409661896526814,0.20941977202892303,10,,,,,,,0,0.163463294506073,0.05182973556220532,0.1181754320859909,0.1457608938217163,0.24898922443389893,0.27648733258247377,9,0.0870785340666771,0.0870785340666771,0.0870785340666771,0.0870785340666771,0.0870785340666771,0.0870785340666771,1
EUR_USD,0.08657064,0.02119849482551217,0.03913656249642372,0.07226308807730675,0.09294207021594048,0.1960100196301937,6,0.11547275632619858,0.09199992492794991,0.09373391047120094,0.10853186622262001,0.1302707176655531,0.14866285286843775,4,0.03969714,0.011938773840665818,0.015618383884429932,0.03430318459868431,0.04188687726855278,0.0849040888249874,5,0.0459132045507431,0.001204395806416869,0.0013663077261298895,0.011537979356944561,0.037509381771087646,0.14989262819290158,5,0.14835899,0.05453445017337799,0.09844989329576492,0.14941874891519547,0.17456671595573425,0.2567479945719242,6,0.06483481824398041,0.026740864664316178,0.050130123272538185,0.07066659070551395,0.08537128195166588,0.0947642795741558,4,0.13835281,0.02062061009928584,0.058818756602704525,0.11092439666390419,0.15495473518967628,0.34916692003607736,8,0.016819315031170845,0.014968501077964902,0.01579108485020697,0.016819314565509558,0.017847544280812144,0.018670128053054215,2,0.13118258,0.02184542799368501,0.06709577515721321,0.1451786458492279,0.19229832291603088,0.24508940130472182,7,0.06192769110202789,0.0029206019418779763,0.012684750370681286,0.024889936670660973,0.09265175461769104,0.14686121344566344,3,0.073680885,0.007576962932944298,0.021689198911190033,0.03547222539782524,0.048698391765356064,0.23567768931388855,6,0.1282617300748825,0.029607781767845155,0.045813098549842834,0.11630421876907349,0.19875285774469376,0.24365620166063306,4,0.041835874,0.021100388281047343,0.02754929568618536,0.03561042994260788,0.053009726107120514,0.06692916303873062,3,0.12728022038936615,0.017441327311098577,0.07581975311040878,0.1466635912656784,0.1817168891429901,0.21004838049411773,7,0.009542432613670826,0.009542432613670826,0.009542432613670826,0.009542432613670826,0.009542432613670826,0.009542432613670826,1,0.17737135291099548,0.03158689513802528,0.0858391672372818,0.16979274153709412,0.21019279956817627,0.3733666658401489,9
GBP_USD,0.083725095,0.016118476632982492,0.026658921502530575,0.05479050241410732,0.13836275413632393,0.1867077760398388,6,0.06368009746074677,0.02617501076310873,0.02812981139868498,0.06057479605078697,0.09612508118152618,0.1055326074361801,4,0.08866272,0.011531762778759003,0.03170756809413433,0.08071566745638847,0.11605757847428322,0.1947721317410469,6,0.05296964570879936,0.006181789108086378,0.028752760961651802,0.04377302527427673,0.06798990815877914,0.1126327686011791,4,0.14854372,0.031176995486021042,0.1154462918639183,0.15560847520828247,0.16756870597600937,0.2670498304069042,6,0.062233470380306244,0.016121866554021834,0.03282610233873129,0.05433294363319874,0.08374031446874142,0.11940582208335397,4,0.13495986,0.021225750818848612,0.07166151702404022,0.1521153301000595,0.16249536722898483,0.26642042994499193,7,0.05718575790524483,0.015000231750309467,0.030408088117837906,0.04966790974140167,0.08020450547337532,0.10463378205895424,3,0.09960365,0.03666803566738963,0.06162971258163452,0.0933372862637043,0.11168018355965614,0.18711497262120247,6,0.0664362981915474,0.016038267174735665,0.02268332545645535,0.05776087939739227,0.10151385702192783,0.12897993214428424,4,0.11987549,0.03986788149923086,0.057319614104926586,0.0998355969786644,0.16239148005843163,0.2279389731585979,4,0.1382109671831131,0.036026302725076675,0.10673835873603821,0.16515043377876282,0.19176716729998589,0.19424381107091904,6,0.05199035,0.02787235248833895,0.0343702444806695,0.04249260947108269,0.06486158631742,0.08275676779448986,3,0.12820561230182648,0.04104919880628586,0.07169958390295506,0.13204441964626312,0.177145354449749,0.21931759566068645,7,0.033170510083436966,0.028110474068671464,0.030359378550201654,0.03317050915211439,0.03598163975402713,0.038230544235557315,2,0.1545470654964447,0.06586566735059023,0.08982300572097301,0.11979697272181511,0.18264346942305565,0.3135727569460869,8
AUD_USD,0.08515732,0.030838146805763245,0.04234398156404495,0.08351386338472366,0.10094630718231201,0.15700584650039673,5,0.07683441787958145,0.035449099540710446,0.038615882396698,0.06111709028482437,0.09074002504348755,0.14538136720657346,5,0.07577975,0.039462555199861526,0.04310796037316322,0.06647970527410507,0.06667318940162659,0.14460397362709043,5,0.04479788988828659,0.013775983080267905,0.022173156961798668,0.04512186348438263,0.06141650304198265,0.07916428372263908,5,0.12461474,0.02434672974050045,0.04145284462720156,0.05574670247733593,0.19035594910383224,0.3256556093692779,8,0.09698177874088287,0.08285699784755707,0.08913467824459076,0.09698177874088287,0.10482887923717499,0.11110655963420868,2,0.14508256,0.04475144743919372,0.07681619375944138,0.12871740758419037,0.15375220775604248,0.317579500377178,7,0.0712730810046196,0.03457330577075481,0.049596384167671204,0.06837522983551025,0.09150085598230362,0.1100013568997383,3,0.14799465,0.048276522755622865,0.061454951763153076,0.1418078988790512,0.1722247302532196,0.29004792571067806,5,0.044869668781757355,0.008471900178119541,0.02993842586874962,0.03989681601524353,0.05695643648505211,0.08695240542292594,5,0.10929687,0.02776823043823242,0.05250120162963867,0.09264136105775833,0.18054184317588806,0.1954803168773651,5,0.10556188970804214,0.03911093324422836,0.08268623799085617,0.08299972116947174,0.14209824800491333,0.18186618089675902,5,0.11208627,0.02141528557986021,0.05898163467645645,0.10593957453966141,0.16211754456162453,0.207059920579195,3,0.17022716999053955,0.09024004489183426,0.11761385947465897,0.15318681299686432,0.1899760589003563,0.2987953141331672,7,,,,,,,0,0.1480627954006195,0.043618440814316276,0.07918405160307884,0.13266605138778687,0.1965370699763298,0.2806507445871829,10
CAD_USD,0.05525358,0.016632014885544777,0.04185919649899006,0.05239235237240791,0.06578673515468836,0.09788086134940384,4,0.06703849881887436,0.022371696308255196,0.0281781661324203,0.05111195333302021,0.0815983060747385,0.14648662693798542,6,0.08259836,0.010770528484135867,0.028950092382729053,0.05874623917043209,0.11239450424909592,0.18781914412975306,4,0.07841809839010239,0.03017217805609107,0.05642223451286554,0.08112773299217224,0.10587499849498272,0.11986209452152252,6,0.13631792,0.053004290163517,0.08073604851961136,0.1633666455745697,0.1846913844347,0.20231764614582062,5,0.08023105561733246,0.013721032068133354,0.023666193708777428,0.06518128514289856,0.0829702615737915,0.19107629060745238,5,0.10272157,0.05254647098481655,0.06919716857373714,0.08785279095172882,0.14748390391469002,0.16138148978352546,8,0.08461306244134903,0.00994935918133706,0.04313322890084237,0.08461306244134903,0.12609289959073067,0.15927676931023596,2,0.121714376,0.04146099742501974,0.06114257872104645,0.1291993297636509,0.1575293391942978,0.20973985642194748,6,0.07888375222682953,0.03111264556646347,0.061115337535738945,0.0824844166636467,0.10025282949209213,0.12161392420530318,4,0.09235215,0.00511060836724937,0.013291346840560436,0.11079306900501251,0.12948378920555115,0.1899984538555145,5,0.07011337578296661,0.021713956259191036,0.06285294890403748,0.08280736953020096,0.08387945592403412,0.10445419251918792,5,0.15410486,0.15410485863685608,0.15410485863685608,0.15410485863685608,0.15410485863685608,0.15410485863685608,1,0.0785796120762825,0.01303925346583128,0.04873264580965042,0.06901955604553223,0.11659114062786102,0.1406361162662506,9,0.09729611873626709,0.05969843789935112,0.0764085166156292,0.09729611873626709,0.11818371713161469,0.13489379584789277,2,0.12183433771133423,0.0568602841347456,0.07621898502111435,0.11980821192264557,0.15824886411428452,0.195975461602211,8
