data_hoje,p_6,p_5,p_4,p_3,p_2,p_1,hoje,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8
2026-01-26 17:29:00,87835.8359375,89944.6953125,91308.0546875,91192.9921875,95099.921875,89462.453125,87422.8984375,86880.296875,87212.0234375,87015.5625,86988.734375,86685.5234375,87338.6640625,88143.703125,88649.3984375
2026-01-27 17:45:00,87138.140625,90603.1875,91027.125,95321.78125,93634.4296875,89503.875,87268.1953125,87466.3515625,86286.453125,86218.5859375,87133.8515625,87500.0078125,87683.796875,87948.6640625,88272.296875
2026-01-28 12:39:00,88430.1328125,91413.4921875,90513.1015625,96929.328125,92553.59375,89110.734375,89794.125,89258.734375,90765.8671875,90799.5703125,91313.2421875,90231.4140625,90226.7109375,89319.6171875,91008.3984375
