data,f_1_real,f_1_datetime,f_2_real,f_2_datetime,f_3_real,f_3_datetime,f_4_real,f_4_datetime,f_5_real,f_5_datetime,f_6_real,f_6_datetime,f_7_real,f_7_datetime,f_8_real,f_8_datetime
2026-01-27 22:13:31,5.184700012207031,2026-01-27 23:00:00,,,5.184700012207031,2026-01-28 01:00:00,,,,,,,,,,
2026-01-28 18:15:49,5.206999778747559,2026-01-28 19:00:00,5.196700096130371,2026-01-28 20:00:00,5.193900108337402,2026-01-28 21:00:00,5.196899890899658,2026-01-28 22:00:00,5.196899890899658,2026-01-28 23:00:00,5.196899890899658,2026-01-29,5.196899890899658,2026-01-29 01:00:00,5.196899890899658,2026-01-29 01:38:10
2026-01-29 01:38:10,,,,,,,,,,,,,,,,
