data_hoje,p_6,p_5,p_4,p_3,p_2,p_1,hoje,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8
2026-01-26 17:29:00,153.45919799804688,165.01084899902344,167.6282501220703,164.94422912597656,173.7237548828125,157.11773681640625,152.51046752929688,151.43218994140625,151.7362823486328,151.92913818359375,151.99261474609375,151.98309326171875,151.9510498046875,152.39039611816406,151.49363708496094
2026-01-27 17:45:00,149.23760986328125,163.00094604492188,164.29244995117188,177.15109252929688,169.112060546875,156.91444396972656,153.62020874023438,152.83717346191406,154.62960815429688,152.3057098388672,149.05369567871094,152.56971740722656,158.70736694335938,158.71136474609375,151.8546600341797
2026-01-28 12:39:00,149.29501342773438,163.91656494140625,165.39151000976562,178.6173095703125,163.82289123535156,155.98406982421875,161.99453735351562,164.87925720214844,159.7482452392578,161.69229125976562,165.80685424804688,162.45883178710938,162.3457489013672,161.8305206298828,160.76083374023438
2026-01-29 09:13:00,146.15785217285156,171.07595825195312,164.76815795898438,171.58851623535156,153.07200622558594,147.73570251464844,156.2302703857422,150.54910278320312,151.64781188964844,155.01356506347656,157.22601318359375,159.90924072265625,160.7176971435547,159.07101440429688,150.82110595703125
